Year,GDP
2010,59620.606
2011,61181.618
2012,64569.542
2013,66932.313
2014,68027.974
2015,71119.881
2016,72974.138
2017,75341.736
2018,77803.073
2019,80380.966
2020,81011.504
2021,90039.953
2022,96976.712
2023,102934.012
