Index,Year,Population,Growth Rate
0,2023,1170000,0.60
1,2022,1163000,0.61
2,2021,1156000,0.52
3,2020,1150000,0.52
4,2019,1144000,0.44
5,2018,1139000,0.89
6,2017,1129000,0.89
7,2016,1119000,0.90
8,2015,1109000,0.82
9,2014,1100000,0.92
10,2013,1090000,0.83
11,2012,1081000,0.84
12,2011,1072000,0.94
13,2010,1062000,0.85
